base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
1843,1843,0.90974474,0.97104996,0.0035199998,-0.96752995,0.96752995,0.20375818,0.0002114713,-0.2035467,frequency_shifted
4169,4169,0.9300166,0.96774995,0.00067,-0.96707994,0.96707994,0.15798302,2.0017365e-05,-0.15796301,frequency_shifted
1440,1440,0.9440135,0.00105,0.96728,0.96623,0.96623,3.5828827e-05,0.15207516,0.15203933,frequency_shifted
3430,3430,0.9548533,0.01466,0.97385997,0.95919997,0.95919997,0.0014660103,0.17697324,0.17550723,frequency_shifted
2538,2538,0.9576758,0.97235996,0.00131,-0.97104996,0.97104996,0.2310687,4.0259732e-05,-0.23102844,frequency_shifted
3214,3214,0.9594116,0.97208,0.0008,-0.97128,0.97128,0.20372634,2.9925757e-05,-0.20369641,frequency_shifted
2599,2599,0.96444285,0.97148997,0.0138799995,-0.95760995,0.95760995,0.20721433,0.0010629899,-0.20615134,frequency_shifted
2807,2807,0.96573216,0.00802,0.97204995,0.96402997,0.96402997,9.6215896e-05,0.21062487,0.21052866,frequency_shifted
484,484,0.9665867,0.96708,0.00049999997,-0.96658,0.96658,0.1429925,1.649318e-05,-0.142976,frequency_shifted
5032,5032,0.9672121,0.0016,0.97251,0.97090995,0.97090995,5.2571904e-05,0.20234495,0.20229238,frequency_shifted
101,101,0.96973133,0.97094,0.01004,-0.9609,0.9609,0.21046433,0.00030185498,-0.21016248,frequency_shifted
2551,2551,0.9710609,0.96693,0.00661,-0.96032,0.96032,0.14825056,8.613964e-05,-0.14816442,frequency_shifted
5715,5715,0.971805,0.00183,0.96836996,0.96654,0.96654,5.158798e-05,0.14108016,0.14102857,frequency_shifted
1520,1520,0.97180915,0.0014099999,0.97212,0.97071,0.97071,4.4232518e-05,0.21559751,0.21555328,frequency_shifted
1191,1191,0.9733568,0.96963996,0.00144,-0.96819997,0.96819997,0.17552103,3.574606e-05,-0.17548528,frequency_shifted
2424,2424,0.9734602,0.00087,0.96887,0.968,0.968,2.8681025e-05,0.16199867,0.16196999,frequency_shifted
3555,3555,0.97355497,0.97019,0.00728,-0.96291,0.96291,0.16930367,8.171475e-05,-0.16922195,frequency_shifted
5348,5348,0.9736858,0.015009999,0.9702,0.95519,0.95519,0.002091554,0.19360045,0.19150889,frequency_shifted
3353,3353,0.9748287,0.97112,0.0127,-0.95842,0.95842,0.20269413,0.00021276152,-0.20248137,frequency_shifted
4617,4617,0.97525024,0.009509999,0.96847,0.95896,0.95896,0.00028556297,0.15642183,0.15613626,frequency_shifted
6084,6084,0.9752774,0.96953,0.01678,-0.95274997,0.95274997,0.17452641,0.0018657068,-0.17266071,frequency_shifted
6051,6051,0.975482,0.008719999,0.96880996,0.96009,0.96009,0.00019611347,0.17208797,0.17189185,frequency_shifted
5559,5559,0.97550726,0.01248,0.96875995,0.95627993,0.95627993,0.00080249767,0.15645234,0.15564984,frequency_shifted
5166,5166,0.97585475,0.013049999,0.97348,0.96042997,0.96042997,0.0013394037,0.12540996,0.124070555,frequency_shifted
4853,4853,0.9767965,0.0009,0.96531,0.96441,0.96441,2.5589618e-05,0.12812355,0.12809797,frequency_shifted
3652,3652,0.9771565,0.00949,0.96959996,0.96010995,0.96010995,0.0011181504,0.18114953,0.18003137,frequency_shifted
3012,3012,0.9773258,0.01681,0.97130996,0.95449996,0.95449996,0.002939762,0.18802671,0.18508695,frequency_shifted
4591,4591,0.9775822,0.01701,0.97084,0.95383,0.95383,0.002914217,0.18586972,0.1829555,frequency_shifted
4876,4876,0.9776616,0.0010299999,0.97116,0.97012997,0.97012997,3.1691055e-05,0.17962843,0.17959674,frequency_shifted
1199,1199,0.9779018,0.96817,0.01538,-0.95278996,0.95278996,0.17753562,0.0008212049,-0.17671442,frequency_shifted
951,951,0.9780961,0.0014,0.97099,0.96959,0.96959,4.717754e-05,0.19520395,0.19515677,frequency_shifted
